contig	cov_mean_sample_C13.sorted	cov_mean_sample_C1.sorted	cov_mean_sample_C27.sorted	cov_mean_sample_C32.sorted	cov_mean_sample_C45.sorted	cov_mean_sample_C51.sorted
k141_32715.concoct_part_0	0.000	0.000	1.276	0.448	0.000	0.000
k141_34896.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.116
k141_37077.concoct_part_0	0.000	0.000	0.000	0.000	0.000	1.619
k141_10905.concoct_part_0	0.000	0.000	1.150	0.341	0.000	0.000
k141_15267.concoct_part_0	0.000	0.000	1.533	0.000	0.000	0.000
k141_6543.concoct_part_0	0.000	0.000	1.061	0.000	0.000	0.357
k141_50161.concoct_part_0	0.000	0.000	1.646	0.000	0.000	0.000
k141_13086.concoct_part_0	0.000	0.000	1.473	0.000	0.000	0.000
k141_1.concoct_part_0	1.256	0.000	0.000	0.000	0.000	0.703
k141_32716.concoct_part_0	0.000	0.000	0.000	0.000	0.000	1.754
k141_26172.concoct_part_0	0.370	0.000	0.000	0.000	1.291	0.000
k141_37078.concoct_part_0	0.000	0.000	0.000	3.163	0.000	0.000
k141_34897.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.028
k141_39258.concoct_part_0	0.000	0.000	3.143	0.000	0.000	0.000
k141_6544.concoct_part_0	0.718	0.000	0.000	0.000	0.000	1.006
k141_43620.concoct_part_0	0.000	0.000	2.051	0.000	0.000	0.000
k141_2.concoct_part_0	2.128	0.000	0.000	0.709	0.000	0.000
k141_10906.concoct_part_0	0.000	0.000	2.168	0.000	0.000	0.000
k141_23991.concoct_part_0	0.000	0.000	1.423	0.000	0.000	0.000
k141_50162.concoct_part_0	2.845	0.000	0.000	0.210	0.000	0.000
k141_30534.concoct_part_0	0.323	1.029	0.000	0.000	0.524	0.706
k141_4362.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.370
k141_37079.concoct_part_0	1.144	0.000	0.000	0.000	0.939	0.765
k141_34898.concoct_part_0	0.000	0.000	1.099	0.734	0.000	0.000
k141_13087.concoct_part_0	0.000	0.000	2.219	0.000	0.000	0.000
k141_41439.concoct_part_0	0.000	0.000	0.000	2.715	0.000	0.408
k141_21810.concoct_part_0	0.000	0.000	0.000	3.313	0.000	0.062
k141_6545.concoct_part_0	0.000	0.000	0.000	1.224	0.000	0.759
k141_10907.concoct_part_0	0.000	0.000	1.830	0.000	0.000	0.000
k141_39259.concoct_part_0	0.000	0.000	0.000	1.143	0.000	0.492
k141_3.concoct_part_0	0.000	1.891	0.000	0.000	0.224	0.000
k141_45801.concoct_part_0	0.000	0.000	0.000	0.000	0.000	3.157
k141_8724.concoct_part_0	0.000	0.000	0.000	2.368	0.000	0.000
k141_2181.concoct_part_0	0.000	0.000	2.348	0.000	0.000	0.000
k141_50163.concoct_part_0	3.227	0.000	0.000	0.000	0.000	0.000
k141_13088.concoct_part_0	0.000	1.321	0.000	0.000	0.898	0.908
k141_47981.concoct_part_0	3.193	0.000	0.000	0.000	0.000	0.000
k141_19629.concoct_part_0	0.741	1.227	0.000	0.000	0.000	1.247
k141_15268.concoct_part_0	0.000	0.000	3.173	0.000	0.000	0.000
k141_26173.concoct_part_0	0.000	0.000	0.000	0.000	2.124	0.000
k141_6546.concoct_part_0	2.458	0.000	0.000	0.000	0.178	0.000
k141_23992.concoct_part_0	0.000	0.000	2.197	0.000	0.000	0.000
k141_10908.concoct_part_0	0.000	0.181	0.000	0.546	0.000	0.000
k141_4363.concoct_part_0	0.902	0.000	0.000	0.572	1.013	0.000
k141_41440.concoct_part_0	0.000	0.000	1.631	0.000	0.000	0.000
k141_4.concoct_part_0	0.000	0.412	1.557	0.379	0.000	0.000
k141_30535.concoct_part_0	0.000	0.389	0.000	0.000	2.774	0.000
k141_39260.concoct_part_0	0.000	0.000	2.334	0.000	0.000	0.000
k141_23993.concoct_part_0	0.000	0.000	0.000	0.000	0.000	2.254
k141_13089.concoct_part_0	2.650	0.000	0.000	0.000	0.000	0.000
k141_28353.concoct_part_0	0.000	0.000	0.000	2.364	0.000	0.178
k141_6547.concoct_part_0	0.000	1.075	0.000	0.000	0.733	0.733
k141_34899.concoct_part_0	1.938	1.417	0.331	0.000	1.567	0.270
k141_41441.concoct_part_0	0.938	0.715	0.000	0.000	0.532	0.401
k141_17448.concoct_part_0	2.158	0.443	0.000	0.889	0.391	0.000
