contig_id,cluster_id
k141_28353,20
k141_17448,8
k141_43621,21
k141_32717,10
k141_45802,17
k141_10909,8
k141_15270,10
k141_8725,10
k141_47982,0
k141_37080,20
k141_10911,9
k141_21815,20
k141_43628,19
k141_45805,10
k141_10913,19
k141_30546,9
k141_4368,9
k141_26178,10
k141_32725,2
k141_17450,10
k141_34907,9
k141_15271,9
k141_28365,9
k141_21823,0
k141_4369,21
k141_50172,9
k141_28366,10
k141_37085,20
k141_10918,21
k141_15275,0
k141_32729,0
k141_50175,2
k141_28368,6
k141_21826,11
k141_2191,10
k141_39266,19
k141_6567,2
k141_28370,0
k141_17454,6
k141_26183,20
k141_41462,8
k141_19641,19
k141_37091,8
k141_30558,0
k141_6570,8
k141_24004,9
k141_32736,21
k141_10927,9
k141_28373,20
k141_50181,21
k141_15282,10
k141_34913,2
k141_24005,0
k141_45823,6
k141_39268,6
k141_10929,9
k141_8736,0
k141_41465,0
k141_24006,6
k141_21831,11
k141_6572,10
k141_28374,9
k141_30559,20
k141_50184,9
k141_37097,20
k141_10931,0
k141_6573,20
k141_43658,8
k141_24008,9
k141_47996,9
k141_32740,10
k141_21833,10
k141_4386,11
k141_17459,9
k141_32741,17
k141_10934,10
k141_28381,10
k141_47997,9
k141_34915,21
k141_6577,10
k141_39273,19
k141_37098,18
k141_8743,20
k141_50188,21
k141_17461,21
k141_26194,10
k141_4387,11
k141_21842,21
k141_43662,2
k141_32743,10
k141_24017,19
k141_30565,19
k141_51,6
k141_21843,9
k141_50192,21
k141_28388,21
k141_45833,21
k141_15306,20
k141_2205,9
k141_32745,19
k141_10942,8
k141_54,8
k141_43667,10
k141_34917,21
k141_41469,10
k141_15309,6
k141_28390,10
k141_4394,10
k141_47999,11
k141_50197,21
k141_37113,8
k141_6593,6
k141_15311,17
k141_45839,11
k141_21855,0
k141_61,6
k141_37116,0
k141_24025,10
k141_10947,10
k141_8750,2
k141_48001,6
k141_50199,17
k141_26200,8
k141_39280,2
k141_17476,5
k141_45842,20
k141_10948,6
k141_64,8
k141_28400,6
k141_50200,21
k141_19668,20
k141_24028,20
k141_41482,20
k141_4407,19
k141_19670,8
k141_6604,10
k141_21864,10
k141_2220,8
k141_41483,17
k141_39283,17
k141_13154,6
k141_48005,10
k141_2221,20
k141_21866,10
k141_26204,20
k141_32769,0
k141_19671,9
k141_45844,10
k141_37127,11
k141_50207,9
k141_21867,10
k141_13156,6
k141_39285,6
k141_19672,20
k141_24039,10
k141_28411,6
k141_26206,21
k141_30582,6
k141_8757,17
k141_39286,20
k141_13159,9
k141_6610,10
k141_19677,20
k141_45847,19
k141_43698,20
k141_4422,10
k141_13160,8
k141_34933,19
k141_24042,9
k141_6615,19
k141_45850,21
k141_15333,11
k141_21873,9
k141_8759,2
k141_48019,21
k141_50218,6
k141_39293,21
k141_80,17
k141_32783,20
k141_6616,10
k141_26211,17
k141_43700,21
k141_15334,8
k141_13161,9
k141_19686,20
k141_32785,6
k141_2239,11
k141_37144,19
k141_82,10
k141_50222,17
k141_6618,19
k141_4432,10
k141_48025,19
k141_43704,10
k141_39300,8
k141_2241,9
k141_37148,9
k141_48026,10
k141_30583,11
k141_34942,21
k141_8763,19
k141_87,9
k141_50227,17
k141_19692,20
k141_48027,19
k141_32791,19
k141_24061,6
k141_28433,10
k141_41513,10
k141_37152,10
k141_88,17
k141_6626,20
k141_15335,11
k141_32792,19
k141_26228,17
k141_17510,8
k141_48030,0
k141_45862,9
k141_32793,9
k141_93,9
k141_37154,20
k141_6629,21
k141_21894,17
k141_24068,11
k141_48031,17
k141_15339,19
k141_43714,9
k141_19701,10
k141_50235,8
k141_2249,21
k141_26231,10
k141_30590,17
k141_8766,9
k141_28439,17
k141_10991,0
k141_4450,8
k141_41523,21
k141_37156,11
k141_6631,10
k141_34955,20
k141_39310,9
k141_4451,10
k141_21895,9
k141_6632,18
k141_43716,21
k141_10995,20
k141_4452,8
k141_19707,20
k141_41526,10
k141_30593,10
k141_34956,8
k141_99,11
k141_26237,21
k141_8767,21
k141_37160,19
k141_48036,19
k141_41528,10
k141_45872,19
k141_2255,19
k141_24080,10
k141_4454,10
k141_28440,10
k141_6637,20
k141_102,9
k141_37161,10
k141_15352,19
k141_34959,10
k141_32811,10
k141_6638,10
k141_39320,19
k141_13196,10
k141_4456,21
k141_37163,10
k141_45876,7
k141_32812,9
k141_15353,8
k141_8772,9
k141_4457,8
k141_24087,4
k141_50249,10
k141_34964,8
k141_28448,10
k141_6642,10
k141_30594,10
k141_109,9
k141_4459,21
k141_26252,6
k141_21905,11
k141_8776,10
k141_13203,9
k141_24090,20
k141_10997,9
k141_2261,21
k141_15360,10
k141_50254,21
k141_39331,10
k141_112,8
k141_6648,20
k141_13205,9
k141_41542,9
k141_32818,17
k141_43734,21
k141_28457,17
k141_113,20
k141_39334,6
k141_48052,10
k141_19720,11
k141_43735,17
k141_11002,20
k141_39335,9
k141_2264,6
k141_8780,21
k141_26253,9
k141_41545,10
k141_116,10
k141_30604,21
k141_24099,6
k141_37180,20
k141_21915,10
k141_11003,10
k141_48058,19
k141_50264,0
k141_2265,4
k141_15375,17
k141_43741,6
k141_41546,20
k141_28466,19
k141_13217,10
k141_17544,10
k141_45896,12
k141_39339,10
k141_11004,21
k141_37183,2
k141_24103,8
k141_121,0
k141_8786,0
k141_32832,9
k141_41547,9
k141_6665,20
k141_21917,10
k141_50267,21
k141_48062,19
k141_4468,19
k141_37187,9
k141_2267,6
k141_32835,19
k141_19736,8
k141_50269,10
k141_127,5
k141_26266,10
k141_6668,21
k141_13225,10
k141_43748,11
